,lat,long,irr_data
415,-2.0,-72.0,101.16061187214613
416,-2.0,-70.0,96.91177168949771
417,-2.0,-68.0,105.20302397260274
418,-2.0,-66.0,114.22014726027398
419,-2.0,-64.0,112.8546649543379
420,-2.0,-62.0,118.3550644977169
421,-2.0,-60.0,112.70579223744292
422,-2.0,-58.0,120.64691837899542
423,-2.0,-56.0,130.77414783105021
424,-2.0,-54.0,148.2774931506849
425,-2.0,-52.0,129.23662614155253
426,-2.0,-50.0,137.3167562785388
427,-2.0,-48.0,130.54903881278537
428,-2.0,-46.0,121.66854737442924
429,-2.0,10.0,74.49153139269407
430,-2.0,12.0,65.93995833333334
431,-2.0,14.0,92.42379166666666
432,-2.0,16.0,111.79590296803653
433,-2.0,18.0,109.22143493150685
434,-2.0,20.0,108.37585844748858
435,-2.0,22.0,105.12336700913241
436,-2.0,24.0,99.84088127853882
437,-2.0,26.0,95.51794292237442
438,-2.0,28.0,94.63720091324201
439,-2.0,30.0,124.2274960045662
440,-2.0,32.0,136.95931449771692
441,-2.0,34.0,159.77611472602737
442,-2.0,36.0,196.26535901826486
443,-2.0,38.0,147.52379566210044
444,-2.0,40.0,148.52568493150685
445,-2.0,102.0,104.6960890410959
446,-2.0,104.0,97.36359817351598
447,-2.0,106.0,104.02869863013697
448,-2.0,112.0,106.02667351598174
449,-2.0,114.0,98.61913242009133
450,-2.0,116.0,101.13715525114155
451,0.0,-80.0,51.0715747716895
452,0.0,-78.0,58.75346232876712
453,0.0,-76.0,84.89977739726027
454,0.0,-74.0,93.67962728310502
455,0.0,-72.0,101.42211529680365
456,0.0,-70.0,99.31419178082193
457,0.0,-68.0,104.8523533105023
458,0.0,-66.0,116.31478710045661
459,0.0,-64.0,121.56337728310503
460,0.0,-62.0,120.35271575342466
461,0.0,-60.0,130.34007305936075
462,0.0,-58.0,134.0763299086758
463,0.0,-56.0,139.12103710045662
464,0.0,-54.0,137.52011472602737
465,0.0,-52.0,124.81274942922376
466,0.0,-50.0,136.9832317351598
467,0.0,10.0,83.0292694063927
468,0.0,12.0,85.24213527397261
469,0.0,14.0,97.67535616438357
470,0.0,16.0,114.5594589041096
471,0.0,18.0,113.4093567351598
472,0.0,20.0,112.09994235159817
473,0.0,22.0,109.67992123287671
474,0.0,24.0,110.69191552511415
475,0.0,26.0,105.54328367579907
476,0.0,28.0,114.55836301369862
477,0.0,30.0,135.5989520547945
478,0.0,32.0,132.87860045662097
479,0.0,34.0,180.29549942922375
480,0.0,36.0,171.84595262557076
481,0.0,38.0,176.39054452054793
482,0.0,40.0,164.37392351598174
483,0.0,42.0,162.5612305936073
484,0.0,100.0,116.34903424657534
485,0.0,102.0,100.35832191780823
486,0.0,110.0,109.87254794520548
487,0.0,112.0,105.6262654109589
488,0.0,114.0,97.10686301369861
489,0.0,116.0,102.07379851598174
490,2.0,-78.0,79.05230536529682
491,2.0,-76.0,74.7464303652968
492,2.0,-74.0,102.87431906392693
493,2.0,-72.0,105.95559075342466
494,2.0,-70.0,99.82377226027397
495,2.0,-68.0,110.62428139269406
496,2.0,-66.0,124.33663127853883
497,2.0,-64.0,117.87343721461188
498,2.0,-62.0,129.37515125570775
